,insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
0,2019-04-22 08:00:25,MADRID,SEVILLA,2019-04-28 08:30:00,2019-04-28 11:14:00,ALVIA,,Turista,Flexible
1,2019-04-22 10:03:24,MADRID,VALENCIA,2019-05-20 06:45:00,2019-05-20 08:38:00,AVE,21.95,Turista,Promo
2,2019-04-25 19:19:46,MADRID,SEVILLA,2019-05-29 06:20:00,2019-05-29 09:16:00,AV City,38.55,Turista,Promo
3,2019-04-24 06:21:57,SEVILLA,MADRID,2019-05-03 08:35:00,2019-05-03 15:26:00,LD-MD,34.35,Turista con enlace,Promo +
4,2019-04-19 21:13:55,VALENCIA,MADRID,2019-05-10 09:40:00,2019-05-10 11:20:00,AVE,45.3,Turista,Promo
5,2019-04-13 14:05:18,MADRID,BARCELONA,2019-04-15 19:30:00,2019-04-15 22:40:00,AVE,85.1,Turista,Promo
6,2019-04-17 19:18:39,BARCELONA,MADRID,2019-05-04 19:00:00,2019-05-04 22:00:00,AVE,98.0,Preferente,Promo
7,2019-05-09 03:06:08,MADRID,VALENCIA,2019-05-21 15:40:00,2019-05-21 17:22:00,AVE,33.65,Turista,Promo
8,2019-05-04 01:17:16,MADRID,BARCELONA,2019-05-27 07:15:00,2019-05-27 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
9,2019-04-22 15:04:40,MADRID,SEVILLA,2019-05-16 18:35:00,2019-05-16 21:08:00,ALVIA,,Turista,Flexible
10,2019-04-23 20:22:12,MADRID,SEVILLA,2019-05-02 17:00:00,2019-05-02 19:38:00,AVE,76.3,Turista,Flexible
11,2019-04-23 20:24:36,MADRID,SEVILLA,2019-06-01 11:00:00,2019-06-01 13:32:00,AVE,61.45,Preferente,Promo
12,2019-04-17 07:03:39,BARCELONA,MADRID,2019-05-13 19:00:00,2019-05-13 22:00:00,AVE,54.45,Preferente,Promo
13,2019-04-20 00:49:17,MADRID,SEVILLA,2019-04-24 13:10:00,2019-04-24 20:51:00,MD-LD,34.35,Turista con enlace,Promo +
14,2019-04-13 00:06:25,MADRID,SEVILLA,2019-05-07 17:00:00,2019-05-07 19:38:00,AVE,,Turista,Promo
15,2019-04-13 18:02:42,MADRID,BARCELONA,2019-05-24 15:30:00,2019-05-24 18:40:00,AVE,102.15,Turista Plus,Promo
16,2019-04-17 14:08:03,BARCELONA,MADRID,2019-05-29 18:25:00,2019-05-29 20:55:00,AVE,100.4,Turista,Promo
17,2019-04-19 18:22:36,SEVILLA,MADRID,2019-05-05 13:40:00,2019-05-05 16:10:00,AVE,,Turista,Flexible
18,2019-04-17 05:33:15,MADRID,VALENCIA,2019-04-25 15:40:00,2019-04-25 17:22:00,AVE,66.55,Preferente,Promo
19,2019-05-08 13:28:35,SEVILLA,MADRID,2019-06-30 07:00:00,2019-06-30 10:02:00,AV City,58.95,Turista Plus,Promo
20,2019-04-18 02:36:43,MADRID,SEVILLA,2019-05-29 15:00:00,2019-05-29 17:21:00,AVE,60.3,Turista,Promo
21,2019-04-15 06:40:37,SEVILLA,MADRID,2019-04-25 08:35:00,2019-04-25 15:26:00,LD-MD,34.35,Turista con enlace,Promo +
22,2019-04-29 15:32:56,MADRID,SEVILLA,2019-05-24 11:05:00,2019-05-24 13:41:00,ALVIA,,Preferente,Promo
23,2019-05-09 15:34:25,MADRID,BARCELONA,2019-05-10 16:30:00,2019-05-10 19:15:00,AVE,107.7,Turista,Flexible
24,2019-04-21 08:47:42,MADRID,SEVILLA,2019-04-22 19:00:00,2019-04-22 21:38:00,AVE,76.3,Turista,Flexible
25,2019-04-15 00:17:45,MADRID,VALENCIA,2019-05-24 12:21:00,2019-05-24 19:04:00,REGIONAL,28.35,Turista,Adulto ida
26,2019-04-28 09:37:19,SEVILLA,MADRID,2019-05-29 19:15:00,2019-05-29 21:36:00,AVE,47.3,Turista,Promo
27,2019-04-17 09:23:55,VALENCIA,MADRID,2019-04-21 20:15:00,2019-04-21 21:55:00,AVE,,Turista,Flexible
28,2019-04-30 13:17:06,MADRID,SEVILLA,2019-05-01 19:00:00,2019-05-01 21:38:00,AVE,128.5,Preferente,Flexible
29,2019-04-16 12:26:00,VALENCIA,MADRID,2019-05-02 06:38:00,2019-05-02 14:20:00,REGIONAL,28.35,Turista,Adulto ida
30,2019-04-22 07:10:28,MADRID,BARCELONA,2019-05-17 07:30:00,2019-05-17 10:40:00,AVE,75.4,Turista,Promo
31,2019-05-01 19:15:16,SEVILLA,MADRID,2019-05-05 12:40:00,2019-05-05 15:23:00,AVE,76.3,Turista,Flexible
32,2019-04-12 13:08:56,MADRID,VALENCIA,2019-05-10 18:40:00,2019-05-10 20:20:00,AVE,,Turista,Promo
33,2019-04-24 01:29:10,SEVILLA,MADRID,2019-05-16 19:19:00,2019-05-16 21:59:00,INTERCITY,62.2,Turista,Flexible
34,2019-04-18 23:24:44,SEVILLA,MADRID,2019-05-30 08:45:00,2019-05-30 11:15:00,AVE,76.3,Turista,Flexible
35,2019-05-04 11:45:44,MADRID,SEVILLA,2019-05-27 06:20:00,2019-05-27 09:16:00,AV City,43.55,Turista,Promo
36,2019-04-26 23:23:40,MADRID,VALENCIA,2019-05-16 16:05:00,2019-05-16 22:47:00,REGIONAL,28.35,Turista,Adulto ida
37,2019-05-07 15:19:13,BARCELONA,MADRID,2019-05-21 12:50:00,2019-05-21 15:45:00,AVE-TGV,75.4,Turista,Promo
38,2019-04-14 23:24:36,BARCELONA,MADRID,2019-04-21 09:00:00,2019-04-21 11:45:00,AVE,143.4,Preferente,Promo
39,2019-04-20 21:16:41,BARCELONA,MADRID,2019-05-13 11:00:00,2019-05-13 13:45:00,AVE,66.75,Turista,Promo
40,2019-04-15 18:32:38,VALENCIA,MADRID,2019-04-27 14:10:00,2019-04-27 15:48:00,AVE,39.45,Turista,Promo
41,2019-05-06 19:34:04,MADRID,VALENCIA,2019-05-20 19:40:00,2019-05-20 21:29:00,AVE,39.45,Turista,Promo
42,2019-04-21 14:44:29,MADRID,BARCELONA,2019-05-12 14:30:00,2019-05-12 17:21:00,AVE,107.7,Turista,Flexible
43,2019-04-21 06:52:20,MADRID,SEVILLA,2019-05-20 07:30:00,2019-05-20 09:51:00,AVE,60.3,Turista,Promo
44,2019-04-21 22:02:57,MADRID,VALENCIA,2019-05-22 15:30:00,2019-05-22 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
45,2019-04-14 14:10:29,BARCELONA,MADRID,2019-05-30 07:05:00,2019-05-30 09:50:00,AVE,80.15,Turista Plus,Promo
46,2019-04-28 13:28:49,MADRID,VALENCIA,2019-05-15 16:55:00,2019-05-15 21:58:00,AVE-LD,28.05,Turista con enlace,Promo
47,2019-04-11 22:35:41,MADRID,BARCELONA,2019-05-24 18:30:00,2019-05-24 21:20:00,AVE,,Preferente,Promo
48,2019-04-12 23:11:58,MADRID,VALENCIA,2019-06-05 06:08:00,2019-06-05 12:55:00,REGIONAL,,Turista,Adulto ida
49,2019-04-21 11:21:53,MADRID,VALENCIA,2019-05-24 15:40:00,2019-05-24 17:22:00,AVE,57.75,Turista,Promo
50,2019-05-06 13:31:30,SEVILLA,MADRID,2019-05-27 19:19:00,2019-05-27 21:59:00,INTERCITY,62.2,Turista,Flexible
51,2019-04-21 06:43:21,SEVILLA,MADRID,2019-05-02 07:00:00,2019-05-02 10:02:00,AV City,49.15,Turista,Promo
52,2019-04-23 01:09:27,BARCELONA,MADRID,2019-05-22 08:25:00,2019-05-22 10:55:00,AVE,100.4,Turista,Promo
53,2019-04-23 14:45:23,MADRID,VALENCIA,2019-04-29 12:40:00,2019-04-29 14:20:00,AVE,66.55,Preferente,Promo
54,2019-05-01 21:42:27,MADRID,PONFERRADA,2019-05-06 22:14:00,2019-05-07 04:31:00,TRENHOTEL,45.8,Turista,Flexible
55,2019-04-22 03:26:31,BARCELONA,MADRID,2019-05-19 21:25:00,2019-05-19 23:55:00,AVE,85.1,Turista,Promo
56,2019-04-25 21:45:09,MADRID,BARCELONA,2019-05-14 09:00:00,2019-05-14 11:45:00,AVE,85.1,Turista,Promo
57,2019-04-21 16:18:38,VALENCIA,MADRID,2019-06-01 12:40:00,2019-06-01 14:20:00,AVE,45.3,Turista,Promo
58,2019-04-14 12:13:49,SEVILLA,MADRID,2019-05-10 08:45:00,2019-05-10 11:15:00,AVE,76.3,Turista,Flexible
59,2019-04-20 02:41:53,MADRID,PONFERRADA,2019-04-20 14:40:00,2019-04-20 18:52:00,LD,57.0,Turista con enlace,Flexible
60,2019-04-23 23:16:12,SEVILLA,MADRID,2019-05-24 11:45:00,2019-05-24 14:17:00,AVE,60.3,Turista,Promo
61,2019-04-20 05:37:24,BARCELONA,MADRID,2019-05-29 16:00:00,2019-05-29 19:10:00,AVE,80.15,Turista Plus,Promo
62,2019-04-23 10:31:31,MADRID,SEVILLA,2019-05-25 20:35:00,2019-05-25 23:15:00,AVE,61.45,Preferente,Promo
63,2019-05-01 03:03:16,MADRID,VALENCIA,2019-05-03 17:10:00,2019-05-03 18:54:00,AVE,73.1,Turista,Flexible
64,2019-04-21 19:30:20,MADRID,BARCELONA,2019-05-16 20:00:00,2019-05-16 22:30:00,AVE,78.8,Turista,Promo
65,2019-04-18 21:24:19,PONFERRADA,MADRID,2019-04-25 11:44:00,2019-04-25 16:00:00,MD-LD,54.1,Turista con enlace,Flexible
66,2019-04-15 14:07:49,VALENCIA,MADRID,2019-04-17 21:05:00,2019-04-17 23:32:00,INTERCITY,55.4,Turista,Flexible
67,2019-04-22 04:41:45,BARCELONA,MADRID,2019-05-31 17:25:00,2019-05-31 19:55:00,AVE,100.4,Turista,Promo
